species,redlist,site,type,status
Alopias pelagicus,EN,Manjapparai,S,Qualifying Species
Alopias superciliosus,VU,Manjapparai,S,Qualifying Species
Carcharhinus albimarginatus,VU,Manjapparai,S,Qualifying Species
Carcharhinus amblyrhynchos,EN,Manjapparai,S,Qualifying Species
Carcharhinus amboinensis,VU,Manjapparai,S,Qualifying Species
Carcharhinus brevipinna,VU,Manjapparai,S,Qualifying Species
Carcharhinus falciformis,VU,Manjapparai,S,Qualifying Species
Carcharhinus leucas,VU,Manjapparai,S,Qualifying Species
Carcharhinus limbatus,VU,Manjapparai,S,Qualifying Species
Carcharhinus longimanus,CR,Manjapparai,S,Qualifying Species
Isurus oxyrinchus,EN,Manjapparai,S,Qualifying Species
Nebrius ferrugineus,VU,Manjapparai,S,Qualifying Species
Stegostoma tigrinum,EN,Manjapparai,S,Qualifying Species
Sphyrna lewini,CR,Manjapparai,S,Qualifying Species
Sphyrna zygaena,VU,Manjapparai,S,Qualifying Species
Triaenodon obesus,VU,Manjapparai,S,Qualifying Species
Aetobatus ocellatus,EN,Manjapparai,R,Qualifying Species
Mobula birostris,EN,Manjapparai,R,Qualifying Species
Mobula mobular,EN,Manjapparai,R,Qualifying Species
Mobula tarapacana,EN,Manjapparai,R,Qualifying Species
Pateobatis fai,VU,Manjapparai,R,Qualifying Species
Rhina ancylostomus,CR,Manjapparai,R,Qualifying Species
Rhynchobatus australiae,CR,Manjapparai,R,Qualifying Species
Taeniurops meyeni,VU,Manjapparai,R,Qualifying Species
Carcharhinus altimus,NT,Manjapparai,S,Supporting Species
Carcharhinus melanopterus,VU,Manjapparai,S,Supporting Species
Carcharhinus sorrah,NT,Manjapparai,S,Supporting Species
Centrophorus granulosus,EN,Manjapparai,S,Supporting Species
Echinorhinus brucus,EN,Manjapparai,S,Supporting Species
Galeocerdo cuvier,NT,Manjapparai,S,Supporting Species
Hexanchus griseus,NT,Manjapparai,S,Supporting Species
Negaprion acutidens,EN,Manjapparai,S,Supporting Species
Prionace glauca,NT,Manjapparai,S,Supporting Species
Chiloscyllium arabicum,NT,Kelshi,S,Qualifying Species
Glaucostegus granulatus,CR,Kelshi,R,Qualifying Species
Glaucostegus obtusus,CR,Kelshi,R,Qualifying Species
Carcharhinus limbatus,VU,Kelshi,S,Supporting Species
Carcharhinus melanopterus,VU,Kelshi,S,Supporting Species
Chiloscyllium griseum,VU,Kelshi,S,Supporting Species
Rhizoprionodon acutus,VU,Kelshi,S,Supporting Species
Rhizoprionodon oligolinx,NT,Kelshi,S,Supporting Species
Scoliodon laticaudus,NT,Kelshi,S,Supporting Species
Sphyrna lewini,CR,Kelshi,S,Supporting Species
Aetobatus ocellatus,EN,Kelshi,R,Supporting Species
Brevitrygon walga,NT,Kelshi,R,Supporting Species
Gymnura poecilura,VU,Kelshi,R,Supporting Species
Himantura leoparda,EN,Kelshi,R,Supporting Species
Himantura uarnak,EN,Kelshi,R,Supporting Species
Maculabatis arabica,CR,Kelshi,R,Supporting Species
Maculabatis gerrardi,EN,Kelshi,R,Supporting Species
Pastinachus sephen,NT,Kelshi,R,Supporting Species
Pateobatis bleekeri,EN,Kelshi,R,Supporting Species
Mobula mobular,EN,Kommu,R,Qualifying Species
Mobula tarapacana,EN,Kommu,R,Qualifying Species
Alopias superciliosus,VU,Kommu,S,Supporting Species
Carcharhinus falciformis,VU,Kommu,S,Supporting Species
Galeocerdo cuvier,NT,Kommu,S,Supporting Species
Pseudocarcharias kamoharai,LC,Kommu,S,Supporting Species
Sphyrna lewini,CR,Kommu,S,Supporting Species
